target,replacement
awakmu,kamu
awareness,kesadaran
awasss,awas
away,jauh
ayok,ayo
ayolah,ayo
ayoo,ayo
ayoooo,ayo
baby,bayi
bacain,bacakan
bacod,bacot
bacotannya,bacot
bacotnya,bacot
bade,ingin
bagaimn,bagaimana
bagimna,bagaimana
bagunan,bangunan
baguslah,bagus
baguz,bagus
bagi²,bagi
bahka,bahkan
bahkn,bahkan
bahlil,bahlul
bahok,bahlul
bajingaaaaannnnn,bajing
bajingan,bajing
bakul,penjual
bakulan,penjualnya
banding²in,banding
bandingke,banding
bandingken,banding
bangat,banget
bangets,banget
bangett,banget
bangetttt,banget
banggai,bangga
banggain,bangga
banggakan,bangga
bangjrut,bangkrut
bangkrutin,bangkrut
bankrut,bangkrut
bangkrutkeun,bangkrut
bangrut,bangkrut
bangke,bangkai
bangkeeeee,bangkai
banyk,banyak
bapa,bapak
bapack,bapak
bapake,bapak
bapakku,bapak
bapakmu,bapak
bapaknya,bapak
bapanya,bapak
barti,berarti
bastard,bajin
bati,batin
bawa²,membawa
bearti,berarti
becussss,becus
bedaa,beda
bisa²,bisa
bisaa,bisa
bisalah,bisa
bisanya,bisa
bismilah,bismillah
bkan,bukan
bkin,bikin
bkn,bukan
bknnya,bukan
bktikan,bukti
blh,boleh
bli,beli
blikan,beli
blinya,beli
blind,buta
bljar,belajar
bllm,belum
blm,belum
blmbpunya,belum
belanja,blnja
blocking,block
blog,block
blok,block
blok²,block
blokkkk,block
blom,belum
bod,bodoh
bodo,bodoh
zuzurly,jujur
ngabalin,abal
ngalihin,alih
bairin,biar
didaftarin,daftar
bicarain,bicaraa
benerin,benar
ngikutin,ikut
bangunin,bangun
banyakin,banyak
sponsorin,sponsor
seijin,ijin
dijadiin,jadi
mohin,mohon
buatin,buat
ngejamin,jamin
ngabisin,habis
bantuin,bantu
bandingin,banding
bebasin,bebas
bikin,dibuat
ucapin,ucap
nyariin,crai
dinaikin,naik
ngasilin,hasil
tinggalin,tinggal
gunain,guna
beliin,beli
pastiin,pasti
direcokin,recok
kurangin,kurang
biayain,biaya
nangkepin,tangkep
ngelayanin,layan
dipaksain,paksa
selametin,selamat
mbandingin,banding
kejarin,kerja
sebutin,sebut
ngidupin,hidup
diarahin,arah
keluarin,keluar
terusin,terus
dengerin,denger
ngurusin,urus
belain,bela
kayuringin,kayu
ngilagin,hilang
tempelin,tempel
dibiarin,biar
doain,doa
ngilangin,hilang
dikencengin,kencang
tingkatin,tingkat
sediain,sedia
dilanjutin,lanjut
dipamerin,pamer
nyamain,sama
ngrasain,rasa
tpmungkin,mungkin
ilangin,hilang
diisiin,isi
seriusin,serius
dipinjemin,pinjam
daftarin,daftar
dilaporin,lapor
smakin,semakin
ngebiayain,biaya
ikutin,ikut
fotoin,foto
ngakalin,akal
mainin,main
dimasukin,masuk
dimahalin,mahal
kmarin,kemarin
nyairin,cair
dijagain,jaga
tunjukin,tunjuk
ejekin,ejek
tutupin,tutup
dibikin,bikin
nunjukin,tunjuk
diurusin,urus
merjuangin,juang
samain,sama
ngiktin,ikut
ngelanjutin,lanjut
ngehasilin,hasil
isin,malu
bilangin,bilang
isiin,isi
dngerin,denger
nyediain,sedia
niatin,niat
diturunin,turun
diilangin,ilang
dicurangin,curang
dimarahin,marah
ngelindungin,lindung
ngelamunin,lamun
kluarin,keluar
bnsin,bensin
kandungin,kandung
dikibulin,tipu
bayangin,bayang
gedein,besar
maluin,malu
pastiiin,pasti
habisin,habis
siapin,siap
diceritaiiin,cerita
dibatesin,bates
diselarasin,laras
ngajarin,ajar
anggarin,anggar
dibebasin,bebas
laginungguin,nunggu
naekin,naik
terapin,terap
ngebandingin,banding
maklumin,maklum
jualin,jual
ngikutiin,ikut
ngakuin,aku
nyusahin,susah
adain,ada
untungin,untung
dilabelin,label
wajibin,wajib
diumumin,umum
ngadain,ada
bersihin,bersih
nglakuin,laku
gblkin,goblok
diapain,apa
digunain,guna
dibalikin,balik
perhatiin,hati
dijelasin,jelas
matiin,mati
kirain,kira
prioritasin,prioritas
monopoliin,monopoli
disambungin,sambung
dibodohin,bodoh
nentuin,tentu
ngerugiin,rugi
tandain,tanda
dibebanin,beban
kalibrasiin,kalibrasi
digituin,begitu
ngernyitin,sirik
nyiapin,siap
nanganin,tangan
kalahin,kalah
sebarin,sabar
ngumpulin,kumpul
ngalahin,kalah
diabisin,habis
beresin,beres
malesin,males
nemenin,temen
dikurangin,kurang
nurutin,turut
jejerin,jejer
ngehubungin,hubung
nurunin,turun
kencengin,kencang
ngalamin,alam
nyengsarain,sengsara
tambahin,tambah
bebanin,beban
dimesin,mesin
lewatin,lewat
lakuin,laku
biarin,biar
dibilangin,bilang
urusin,rawat
berangkatin,berangkat
perbaikin,baik
sukurin,syukur
pentungin,pukul
muterin,puter
dijamin,jamin
dilayanin,layan
semiskin,miskin
trapin,terap
digoblokin,goblok
nungguin,tunggu
ditawarin,tawar
gadinaikin,turun
kmrin,kemarin
modalin,modaal
ajakin,ajak
nikmatin,nikmat
katain,kata
pingin,ingin
penjaraiin,penjara
dicuekin,cuek
nyebelin,sebel
nasehatin,nasehat
ngapain,apa
salahin,salah
ditutupin,tutup
nalangin,halang
putusin,putus
bengsin,bensin
dimilikin,milik
efektifin,efektif
mbatin,batin
ngirain,kira
disandingin,sanding
ngeselin,kesel
raskin,miskin
naikkin,naik
dipimpin,pimpin
bubarin,bubar
ngejelasin,jelsa
diajarin,ajar
nyalurin,salur
ditanyain,tanya
kayain,kaya
mkin,makin
bayarin,bayar
sumpahin,sumpah
dimandiin,mandi
dikicepin,bungkam
ketawain,tawa
nuangin,tuang
kibulin,tipu
nyaingin,saing
ngeluarin,keluaar
nqapain,apa
menjalin,jalin
dicabutin,sabut
bermesin,mesin
dikalahin,kalah
ngebenerin,bener
nutupin,tutup
manjain,manja
dikembaliin,kembali
jalanin,jalan
bgabisin,habis
ngandelin,andal
ngedatengin,dateng
dikatain,kata
nyatain,nyata
dinaekin,naik
mimin,admin
dikerjain,kerja
menjamin,jamin
menuhin,penuh
ngamungkin,mustahil
ngebebanin,beban
dikadalin,tipu
ramein,rame
ngomongin,omong
dinikmatin,nikmat
disamain,sama
tinggiin,tinggi
ngusulin,usul
dikeluarin,keluar
ngancurin,hancur
gamungkin,mustahil
ngajuin,mengajukan
ngeduluin,dulu
kumpulin,kumpul
gelontorin,gelontor
gantiin,ganti
ninggalin,tinggal
pengin,ingin
terjalin,jalin
dapetin,dapat
ditombokin,tombok
dimalingin,maling
sekalin,sekalian
dihilangin,hilang
digebukin,gebuk
dijulidin,fitnah
jelasin,jelas
diketawain,ketawa
diakalin,akal
ditempelin,tempel
netapin,tetap
paksain,paksa
pasin,tepat
ngucurin,hancur
deketin,deket
disalahin,salah
ngerjain,kerja
pikirin,pikir
taiin,tai
izin,
ngurangin,kurang
ngizinin,izin
diberesin,beres
talangin,
balikin,balik
turunin,turun
dimainin,main
titipin,titip
dibolehin,boleh
pertamin,pertamina
nerapin,terap
ngatain,kata
dipecahin,pecah
memimpin,pimpin
nanyain,tanya
nyobain,coba
jadiin,jadi
ngepasin,tepat
ngluarin,keluar
suratin,surat
persiapin,siap
sesuain,sesuai
diawasin,awas
mantengin,fokus
kadalin,bohong
buktiin,bukti
dibubatin,bubar
ngeluhin,keluh
ditemenin,temen
ngembangin,kembang
ngewajibin,wajib
bermain,main
nyelundupin,selundup
nargetin,target
nyeponsorin,sponsor
nganggarin,anggar
mikirin,pikir
nyepinsorin,sponsor
masukin,masukk
nombokin,tombok
nugasin,tugasa
viralin,kenal
viral,kenal
hilangin,hilang
pombensin,spbu
pemimpin,pemerintah
ngerasain,rasa
digedein,besar
bodohin,bodoh
tanyain,tanya
dibubarin,bubar
genapin,genap
omelin,marah
kandangin,kandang
pertahanin,tahan
jagain,jaga
dijalanin,jalan
diomongin,omong
dibohongin,bohong
rasain,rasa
digatiin,ganti
dikomenin,kritik
ngruhin,pengaruh
ngelakuin,laku
dibegoin,bodoh
dibandingin,banding
slain,selain
pecatin,pecat
sebandin,banding
mgkin,mungkin
nganterin,antar
nyalahin,salah
bagiin,beri
dilakuin,laku
bedain,beda
dibelain,bela
